Tiempo,Velocidad,Direccion
1,3.6,192
2,4.2,205
3,6.4,215
4,3.5,240
5,4.6,238
6,7.4,229
7,6.9,234
8,3.5,328
9,4.8,315
10,7.2,300
11,6.3,287
12,5.3,350
13,5.8,2
14,8.6,6
15,7.1,359
16,5.4,4
17,4.9,327
18,8.9,320
19,9.2,315
20,6.3,286
21,6.1,290
22,5.3,308
23,7.8,304
24,3.6,10
25,5.8,1
26,7.1,324
27,8.4,310
28,4.2,160
29,5.7,175
30,9.5,321
31,8.5,330
32,10.2,309
33,7.2,337
34,4.8,168
35,6.3,159
36,3.8,260
37,9.7,310
38,8.3,286
39,7.6,275
40,4.5,145
41,3.6,157
42,5.7,149
43,9.5,320
44,10.1,325
45,9.4,3
46,7.4,9
47,5.8,333
48,5.6,300
49,6.2,344
50,4.3,264
